t_ms,phase,altitude_m,pressure_pa,temp_env_c,humidity_pct,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_uT,mag_y_uT,mag_z_uT,gnss_lat,gnss_lon,gnss_hdop,gnss_sats,sbm20_count_window,sbm20_total_count,battery_v,rssi_dbm,fdir_state
2600,pre_launch,0.00,101367,18.58,48,-0.001,-0.003,1.001,-0.11,0.21,-0.11,23.50,-18.87,41.04,41.2800006,69.2399993,1.2,8,0,2,3.82,-78,0
2700,pre_launch,0.00,101327,18.38,48,0.000,-0.007,0.991,-0.08,0.09,0.11,23.06,-19.03,41.06,41.2800009,69.2400003,1.2,8,0,2,3.82,-78,0
2800,pre_launch,0.00,101348,18.55,48,-0.009,0.000,1.004,-0.03,-0.05,0.02,23.15,-19.53,40.95,41.2800006,69.2400003,1.2,8,0,2,3.82,-78,0
2900,pre_launch,0.00,101321,18.61,48,0.000,-0.004,1.007,0.05,-0.01,-0.09,23.15,-18.94,41.34,41.2799996,69.2399996,1.2,8,0,2,3.82,-78,0
3000,ascent,0.14,101323,18.50,48,2.015,-0.273,0.888,2.29,-0.72,0.23,23.18,-20.90,41.14,41.2800001,69.2400000,1.3,7,0,2,3.80,-82,0
3100,ascent,0.48,101319,18.50,48,1.654,0.058,0.867,2.05,-1.25,0.40,23.50,-18.56,40.41,41.2800002,69.2400001,1.3,7,0,2,3.80,-82,0
3200,ascent,1.00,101312,18.49,48,2.414,-0.086,0.869,2.84,-1.71,0.65,22.90,-18.57,38.83,41.2800005,69.2400002,1.3,7,0,2,3.80,-82,0
3300,ascent,1.72,101304,18.49,48,2.253,0.264,0.932,2.41,-1.49,0.92,24.72,-19.03,40.63,41.2800009,69.2400003,1.3,7,0,2,3.80,-82,0
3400,ascent,2.63,101293,18.48,48,1.796,0.274,0.802,1.99,-1.37,0.54,21.50,-18.47,42.14,41.2800013,69.2400004,1.3,7,0,2,3.80,-82,0
3500,ascent,3.74,101280,18.48,48,1.548,0.359,0.963,1.74,-1.83,0.71,24.25,-20.60,39.69,41.2800019,69.2400006,1.3,7,0,2,3.80,-82,0
3600,ascent,5.03,101264,18.47,48,2.324,-0.437,0.916,2.60,-1.32,0.57,24.34,-20.64,40.87,41.2800025,69.2400008,1.3,7,0,2,3.80,-82,0
3700,ascent,6.52,101246,18.46,48,1.804,0.095,1.026,2.73,-1.31,0.66,24.62,-18.33,42.80,41.2800033,69.2400010,1.3,7,0,2,3.80,-82,0
3800,ascent,8.20,101226,18.45,48,1.974,-0.306,0.971,2.09,-1.44,0.63,23.32,-18.36,41.32,41.2800041,69.2400012,1.3,7,0,2,3.80,-82,0
3900,ascent,10.07,101204,18.43,48,1.712,-0.106,0.886,2.06,-0.97,0.65,24.74,-20.04,43.46,41.2800050,69.2400015,1.3,7,0,2,3.80,-82,0
4000,ascent,12.13,101179,18.42,48,1.766,0.094,0.933,2.89,-1.50,0.68,22.44,-19.94,41.62,41.2800061,69.2400018,1.3,7,0,2,3.80,-82,0
4100,ascent,14.39,101152,18.41,48,1.812,0.165,1.013,1.45,-1.21,0.60,24.07,-18.24,41.71,41.2800072,69.2400022,1.3,7,0,2,3.80,-82,0
4200,ascent,16.83,101122,18.39,48,2.097,0.388,1.044,3.12,-1.10,0.57,24.63,-20.05,41.90,41.2800084,69.2400025,1.3,7,0,2,3.80,-82,0
4300,ascent,19.47,101091,18.37,48,2.083,0.261,1.019,3.14,-1.21,0.48,23.97,-18.25,39.78,41.2800097,69.2400029,1.3,7,0,2,3.80,-82,0
4400,ascent,22.30,101057,18.36,48,2.135,-0.001,0.881,2.38,-1.81,0.26,23.24,-21.11,40.82,41.2800112,69.2400033,1.3,7,0,2,3.80,-82,0
4500,ascent,25.33,101021,18.34,48,2.141,-0.034,0.951,2.33,-1.04,0.28,22.17,-19.80,40.45,41.2800127,69.2400038,1.3,7,0,2,3.80,-82,0
4600,ascent,28.54,100982,18.31,48,1.424,-0.022,0.925,2.75,-0.61,0.61,24.80,-18.35,40.79,41.2800143,69.2400043,1.3,7,0,2,3.80,-82,0
4699,ascent,31.95,100941,18.29,48,2.055,-0.178,0.927,2.71,-0.35,-0.02,25.15,-19.60,41.44,41.2800160,69.2400048,1.3,7,0,2,3.80,-82,0
4799,ascent,35.55,100898,18.27,48,2.257,0.214,0.943,2.76,-1.05,0.16,24.19,-18.57,41.86,41.2800178,69.2400053,1.3,7,0,2,3.80,-82,0
4899,ascent,39.34,100853,18.24,48,2.137,-0.355,0.949,2.58,-1.15,0.70,24.24,-16.68,39.51,41.2800197,69.2400059,1.3,7,0,2,3.80,-82,0
4999,ascent,43.32,100805,18.22,48,2.068,-0.071,1.021,2.46,-0.82,0.60,25.42,-18.80,39.67,41.2800217,69.2400065,1.3,7,0,2,3.80,-82,0
5099,ascent,47.50,100755,18.19,48,1.743,-0.128,1.053,1.95,-0.91,0.64,24.74,-18.21,40.06,41.2800237,69.2400071,1.3,7,0,2,3.80,-82,0
5199,ascent,51.86,100703,18.16,48,2.198,-0.077,1.016,2.49,-1.46,0.34,23.08,-20.64,40.82,41.2800259,69.2400078,1.3,7,0,2,3.80,-82,0
5299,ascent,56.42,100649,18.13,48,2.040,-0.147,0.911,1.65,-1.55,0.33,24.61,-20.16,40.65,41.2800282,69.2400085,1.3,7,0,2,3.80,-82,0
5399,ascent,61.17,100592,18.10,48,2.158,0.073,0.911,2.41,-1.30,0.70,23.19,-19.37,40.35,41.2800306,69.2400092,1.3,7,0,2,3.80,-82,0
5499,ascent,66.12,100533,18.07,48,1.662,-0.048,1.026,3.02,-1.65,0.88,24.93,-19.17,41.24,41.2800331,69.2400099,1.3,7,0,2,3.80,-82,0
5599,ascent,71.25,100472,18.04,48,1.818,-0.130,0.913,2.21,-1.37,0.59,23.68,-20.30,40.88,41.2800356,69.2400107,1.3,7,0,2,3.80,-82,0
5699,ascent,76.58,100409,18.00,48,2.194,0.148,1.206,2.63,-0.93,0.40,23.16,-18.71,41.17,41.2800383,69.2400115,1.3,7,0,2,3.80,-82,0
5799,ascent,82.10,100343,17.97,48,1.847,-0.425,0.968,2.15,-1.49,0.67,23.22,-18.58,42.28,41.2800410,69.2400123,1.3,7,0,2,3.80,-82,0
5899,ascent,87.81,100275,17.93,48,1.727,-0.242,0.927,2.54,-0.89,0.62,25.63,-19.42,40.77,41.2800439,69.2400132,1.3,7,0,2,3.80,-82,0
5999,ascent,93.71,100205,17.89,48,2.035,-0.242,0.688,2.26,-0.72,0.42,24.53,-20.26,41.10,41.2800469,69.2400141,1.3,7,0,2,3.80,-82,0
6099,ascent,99.81,100133,17.85,48,1.906,-0.359,0.902,2.68,-1.47,-0.04,23.16,-18.17,40.81,41.2800499,69.2400150,1.3,7,0,2,3.80,-82,0
6199,ascent,106.09,100058,17.81,47,2.424,0.112,0.928,2.19,-0.72,0.67,24.08,-19.63,41.86,41.2800530,69.2400159,1.3,7,0,2,3.80,-82,0
6299,ascent,112.57,99981,17.77,47,1.898,0.143,1.065,1.55,-1.35,1.08,24.63,-20.51,41.82,41.2800563,69.2400169,1.3,7,0,2,3.80,-82,0
6399,ascent,119.24,99902,17.72,47,1.763,0.240,0.929,2.36,-1.28,0.66,23.82,-18.93,40.37,41.2800596,69.2400179,1.3,7,0,2,3.80,-82,0
6499,ascent,126.11,99821,17.68,47,2.291,0.088,0.979,1.35,-0.80,0.33,24.58,-19.27,41.16,41.2800631,69.2400189,1.3,7,0,2,3.80,-82,0
6599,ascent,133.16,99737,17.63,47,2.127,0.005,1.018,1.94,-1.07,0.32,23.66,-18.98,41.39,41.2800666,69.2400200,1.3,7,0,2,3.80,-82,0
6699,ascent,140.41,99652,17.59,47,1.647,0.046,1.031,3.40,-1.23,0.70,22.62,-19.37,41.46,41.2800702,69.2400211,1.3,7,0,2,3.80,-82,0
6799,ascent,147.85,99564,17.54,47,1.805,-0.411,0.997,2.56,-1.39,0.35,25.03,-19.14,40.30,41.2800739,69.2400222,1.3,7,0,2,3.80,-82,0
6899,ascent,155.48,99474,17.49,47,1.799,0.320,0.838,3.10,-1.59,0.23,22.21,-18.29,42.37,41.2800777,69.2400233,1.3,7,0,2,3.80,-82,0
6999,ascent,163.30,99381,17.44,47,1.978,-0.043,1.016,1.46,-0.95,0.83,23.48,-20.86,40.71,41.2800817,69.2400245,1.3,7,0,2,3.80,-82,0
7099,ascent,171.32,99287,17.39,47,2.917,-0.099,0.943,2.02,-0.83,0.76,23.27,-19.98,41.87,41.2800857,69.2400257,1.3,7,0,2,3.80,-82,0
7199,ascent,179.52,99191,17.33,47,1.981,0.030,0.919,2.34,-2.06,0.53,23.39,-19.28,41.19,41.2800898,69.2400269,1.3,7,0,2,3.80,-82,0
7299,ascent,187.92,99092,17.28,47,2.115,-0.187,0.968,2.75,-0.97,0.39,22.68,-19.41,40.39,41.2800940,69.2400282,1.3,7,0,2,3.80,-82,0
7399,ascent,196.51,98991,17.22,47,1.508,-0.179,0.962,2.30,-1.03,0.86,23.62,-19.23,40.16,41.2800983,69.2400295,1.3,7,0,2,3.80,-82,0
7499,ascent,205.30,98888,17.17,46,2.007,-0.046,1.031,3.02,-1.77,0.66,24.37,-19.83,40.90,41.2801026,69.2400308,1.3,7,0,2,3.80,-82,0
7599,ascent,214.27,98783,17.11,46,1.420,0.259,0.976,2.99,-1.29,0.92,23.57,-18.83,41.38,41.2801071,69.2400321,1.3,7,0,2,3.80,-82,0
7699,ascent,223.44,98675,17.05,46,1.858,-0.035,0.968,2.08,-1.44,0.09,24.30,-20.62,40.71,41.2801117,69.2400335,1.3,7,0,2,3.80,-82,0
7799,ascent,232.80,98566,16.99,46,1.783,-0.024,1.000,2.61,-1.82,0.55,24.21,-18.22,41.89,41.2801164,69.2400349,1.3,7,0,2,3.80,-82,0
7899,ascent,242.35,98454,16.92,46,2.264,-0.304,0.926,1.85,-1.38,0.43,25.05,-18.75,41.82,41.2801212,69.2400364,1.3,7,0,2,3.80,-82,0
7999,ascent,252.09,98341,16.86,46,2.917,0.187,1.079,3.24,-1.92,0.94,22.95,-18.68,41.72,41.2801260,69.2400378,1.3,7,0,2,3.80,-82,0
8099,ascent,262.03,98225,16.80,46,1.483,-0.163,0.939,2.71,-1.57,-0.13,22.74,-20.48,41.75,41.2801310,69.2400393,1.3,7,0,2,3.80,-82,0
8199,ascent,272.15,98107,16.73,46,2.324,0.031,0.936,1.18,-0.84,0.87,23.45,-18.68,41.58,41.2801361,69.2400408,1.3,7,0,2,3.80,-82,0
8299,ascent,282.47,97987,16.66,46,1.754,0.323,1.105,2.81,-1.16,0.49,23.34,-20.24,40.75,41.2801412,69.2400424,1.3,7,0,2,3.80,-82,0
8399,ascent,292.98,97865,16.60,46,1.650,-0.227,0.936,2.59,-0.70,0.22,24.67,-20.59,40.45,41.2801465,69.2400439,1.3,7,0,2,3.80,-82,0
8499,ascent,303.69,97741,16.53,45,1.713,0.172,0.826,2.14,-1.56,1.19,24.93,-19.28,40.76,41.2801518,69.2400456,1.3,7,0,2,3.80,-82,0
8599,ascent,314.58,97615,16.46,45,1.764,0.020,1.019,2.78,-1.32,0.37,24.80,-19.62,41.55,41.2801573,69.2400472,1.3,7,0,2,3.80,-82,0
8699,ascent,325.67,97487,16.38,45,1.837,0.263,0.950,2.39,-2.14,0.63,23.74,-18.99,41.72,41.2801628,69.2400489,1.3,7,0,2,3.80,-82,0
8799,ascent,336.95,97356,16.31,45,2.064,-0.041,1.077,2.84,-0.92,0.65,23.49,-18.19,41.95,41.2801685,69.2400505,1.3,7,0,2,3.80,-82,0
8899,ascent,348.42,97224,16.24,45,1.714,0.007,1.085,2.13,-0.96,0.20,23.31,-20.22,41.84,41.2801742,69.2400523,1.3,7,0,2,3.80,-82,0
8999,ascent,360.08,97090,16.16,45,1.688,-0.058,0.969,2.07,-1.69,-0.15,23.89,-17.80,42.38,41.2801800,69.2400540,1.3,7,1,3,3.80,-82,0
9099,ascent,371.93,96953,16.08,45,1.396,0.117,0.855,1.94,-1.01,0.52,23.86,-20.07,42.55,41.2801860,69.2400558,1.3,7,0,3,3.80,-82,0
9199,ascent,383.98,96815,16.00,45,1.609,0.032,0.971,0.85,-1.01,0.62,24.10,-17.92,42.01,41.2801920,69.2400576,1.3,7,0,3,3.80,-82,0
9299,ascent,396.22,96674,15.92,45,1.791,0.224,0.966,2.79,-1.70,0.78,22.19,-18.87,41.15,41.2801981,69.2400594,1.3,7,0,3,3.80,-82,0
9399,ascent,408.65,96532,15.84,44,1.624,0.149,0.846,3.85,-1.78,0.63,22.94,-20.41,41.12,41.2802043,69.2400613,1.3,7,0,3,3.80,-82,0
9499,ascent,421.27,96388,15.76,44,1.852,-0.287,0.929,1.65,-0.98,0.96,23.52,-18.88,39.91,41.2802106,69.2400632,1.3,7,0,3,3.80,-82,0
9599,ascent,434.09,96241,15.68,44,1.726,0.142,0.884,2.77,-1.30,0.46,22.90,-19.30,40.18,41.2802170,69.2400651,1.3,7,0,3,3.80,-82,0
9699,ascent,447.10,96093,15.59,44,2.278,0.296,1.017,1.97,-2.04,0.59,22.20,-18.29,42.17,41.2802235,69.2400671,1.3,7,0,3,3.80,-82,0
9799,ascent,460.30,95943,15.51,44,2.534,-0.303,0.931,1.97,-1.81,0.33,22.97,-18.86,42.03,41.2802301,69.2400690,1.3,7,0,3,3.80,-82,0
9899,ascent,473.69,95791,15.42,44,1.710,0.050,1.031,2.24,-1.88,-0.22,24.58,-19.36,42.34,41.2802368,69.2400711,1.3,7,0,3,3.80,-82,0
9999,ascent,487.27,95636,15.33,44,1.643,-0.332,1.106,1.78,-1.05,0.55,23.77,-18.21,42.14,41.2802436,69.2400731,1.3,7,0,3,3.80,-82,0
10099,apogee,487.27,95636,15.33,42,0.030,0.020,0.120,0.5,-0.3,0.1,23.50,-19.10,41.20,41.2800000,69.2400700,1.3,7,0,3,3.79,-85,0
10599,descent,486.38,95646,15.34,46,-0.082,-0.038,-0.695,-0.21,0.10,0.32,23.60,-19.33,41.84,41.2802432,69.2400730,1.4,7,0,3,3.77,-80,0
10699,descent,485.57,95656,15.34,46,0.011,0.034,-0.758,-0.06,0.14,-0.07,24.13,-19.68,42.40,41.2802428,69.2400728,1.4,7,0,3,3.77,-80,0
10799,descent,484.75,95665,15.35,46,-0.023,0.009,-0.753,0.47,-0.22,-0.08,23.12,-19.37,41.50,41.2802424,69.2400727,1.4,7,1,4,3.77,-80,0
10899,descent,484.05,95673,15.35,46,0.010,0.002,-0.867,0.24,0.03,0.02,22.98,-19.59,40.31,41.2802420,69.2400726,1.4,7,0,4,3.77,-80,0
10999,descent,483.28,95682,15.36,46,-0.060,-0.001,-0.930,0.13,-0.24,0.12,22.93,-18.77,40.98,41.2802416,69.2400725,1.4,7,0,4,3.77,-80,0
11099,descent,482.40,95692,15.36,46,-0.023,-0.017,-1.018,-0.37,-0.09,-0.23,23.15,-19.31,41.09,41.2802412,69.2400724,1.4,7,0,4,3.77,-80,0
11199,descent,481.67,95700,15.37,46,-0.008,0.062,-0.895,-0.07,-0.31,0.15,23.08,-19.10,40.63,41.2802408,69.2400723,1.4,7,0,4,3.77,-80,0
11299,descent,480.83,95709,15.37,46,-0.069,-0.016,-0.844,-0.31,0.12,0.08,23.18,-18.39,40.66,41.2802404,69.2400721,1.4,7,0,4,3.77,-80,0
11399,descent,480.08,95718,15.38,46,0.024,0.062,-0.878,-0.11,-0.40,0.05,23.45,-18.91,42.06,41.2802400,69.2400720,1.4,7,0,4,3.77,-80,0
11499,descent,479.29,95727,15.38,46,0.027,0.019,-0.952,-0.35,0.36,0.38,23.79,-19.95,41.07,41.2802396,69.2400719,1.4,7,1,5,3.77,-80,0
11599,descent,478.59,95735,15.39,46,-0.015,-0.029,-0.721,-0.03,-0.08,0.03,23.12,-18.57,41.07,41.2802393,69.2400718,1.4,7,0,5,3.77,-80,0
11699,descent,477.75,95744,15.39,46,0.033,-0.068,-0.639,-0.14,0.29,-0.12,23.81,-20.04,41.47,41.2802389,69.2400717,1.4,7,0,5,3.77,-80,0
11799,descent,477.04,95753,15.40,46,0.028,0.025,-0.867,-0.13,-0.53,-0.14,24.88,-18.97,41.03,41.2802385,69.2400716,1.4,7,0,5,3.77,-80,0
11899,descent,476.24,95762,15.40,46,0.000,-0.049,-0.842,0.20,0.52,-0.36,22.94,-19.68,40.43,41.2802381,69.2400714,1.4,7,0,5,3.77,-80,0
11999,descent,475.39,95771,15.41,46,0.021,0.031,-0.754,0.18,-0.05,0.04,23.64,-19.72,41.23,41.2802377,69.2400713,1.4,7,0,5,3.77,-80,0
12099,descent,474.53,95781,15.42,46,-0.036,0.017,-0.875,0.32,-0.32,0.15,23.46,-18.97,41.36,41.2802373,69.2400712,1.4,7,0,5,3.77,-80,0
12199,descent,473.77,95790,15.42,46,0.074,0.080,-0.853,0.34,0.30,0.18,24.20,-18.49,40.47,41.2802369,69.2400711,1.4,7,0,5,3.77,-80,0
12299,descent,472.98,95799,15.43,46,-0.020,0.015,-0.774,-0.33,0.06,-0.37,23.23,-18.89,41.83,41.2802365,69.2400709,1.4,7,0,5,3.77,-80,0
12399,descent,472.15,95808,15.43,46,-0.025,0.042,-0.951,0.63,0.20,-0.11,21.98,-19.17,40.93,41.2802361,69.2400708,1.4,7,0,5,3.77,-80,0
12499,descent,471.34,95817,15.44,46,0.044,-0.052,-0.861,0.06,0.13,0.05,23.70,-18.92,41.29,41.2802357,69.2400707,1.4,7,0,5,3.77,-80,0
12599,descent,470.62,95825,15.44,46,-0.078,-0.098,-0.955,-0.23,-0.70,0.17,24.78,-18.83,41.14,41.2802353,69.2400706,1.4,7,1,6,3.77,-80,0
12699,descent,469.78,95835,15.45,46,-0.039,0.058,-0.900,0.06,0.36,0.04,23.70,-19.04,41.46,41.2802349,69.2400705,1.4,7,0,6,3.77,-80,0
12799,descent,469.06,95843,15.45,46,0.044,0.000,-0.719,-0.95,0.04,0.27,24.51,-19.74,41.37,41.2802345,69.2400704,1.4,7,0,6,3.77,-80,0
12899,descent,468.26,95852,15.46,46,-0.022,-0.015,-0.949,-0.75,-0.67,-0.01,23.35,-18.93,41.68,41.2802341,69.2400702,1.4,7,0,6,3.77,-80,0
12999,descent,467.43,95862,15.46,46,-0.100,0.042,-0.723,-0.38,-0.09,0.20,23.63,-18.81,40.77,41.2802337,69.2400701,1.4,7,0,6,3.77,-80,0
13099,descent,466.57,95871,15.47,46,0.025,0.026,-0.977,0.13,0.18,0.10,23.27,-19.01,40.04,41.2802333,69.2400700,1.4,7,0,6,3.77,-80,0
13199,descent,465.73,95881,15.47,46,0.103,0.049,-0.918,-0.01,0.12,-0.11,24.42,-20.67,41.37,41.2802329,69.2400699,1.4,7,1,7,3.77,-80,0
13299,descent,465.02,95889,15.48,46,-0.029,-0.006,-0.653,0.60,-0.02,0.05,22.84,-19.12,40.99,41.2802325,69.2400698,1.4,7,0,7,3.77,-80,0
13399,descent,464.17,95899,15.48,46,-0.007,-0.030,-1.064,-0.13,0.05,0.06,23.22,-18.63,41.95,41.2802321,69.2400696,1.4,7,0,7,3.77,-80,0
13499,descent,463.41,95907,15.49,46,0.063,0.047,-0.878,0.57,-0.27,-0.04,24.02,-19.65,41.34,41.2802317,69.2400695,1.4,7,0,7,3.77,-80,0
13599,descent,462.63,95916,15.49,46,-0.058,-0.047,-0.940,0.12,0.19,-0.26,23.16,-19.51,41.21,41.2802313,69.2400694,1.4,7,0,7,3.77,-80,0
13699,descent,461.79,95926,15.50,46,-0.029,-0.028,-0.841,-0.65,-0.01,-0.18,23.14,-18.64,40.82,41.2802309,69.2400693,1.4,7,0,7,3.77,-80,0
13799,descent,460.93,95936,15.50,46,-0.006,0.032,-0.767,0.25,0.30,-0.38,23.80,-18.91,41.86,41.2802305,69.2400691,1.4,7,1,8,3.77,-80,0
13899,descent,460.09,95945,15.51,46,0.086,0.041,-0.765,0.00,-0.15,0.40,23.07,-18.87,40.82,41.2802300,69.2400690,1.4,7,0,8,3.77,-80,0
13999,descent,459.20,95955,15.52,46,-0.047,-0.005,-0.795,-0.00,0.07,-0.01,22.78,-19.58,41.40,41.2802296,69.2400689,1.4,7,0,8,3.77,-80,0
14099,descent,458.44,95964,15.52,46,0.075,0.024,-1.016,0.05,0.22,-0.25,23.51,-19.30,41.72,41.2802292,69.2400688,1.4,7,0,8,3.77,-80,0
14199,descent,457.68,95972,15.53,46,-0.016,0.105,-0.828,-0.39,-0.36,-0.12,23.50,-19.27,41.03,41.2802288,69.2400687,1.4,7,0,8,3.77,-80,0
14299,descent,456.90,95981,15.53,46,-0.014,0.054,-0.848,0.20,-0.39,0.28,23.82,-18.92,41.42,41.2802284,69.2400685,1.4,7,0,8,3.77,-80,0
14399,descent,456.11,95990,15.54,46,-0.044,-0.113,-0.945,-0.29,-0.09,0.11,23.15,-19.31,40.82,41.2802281,69.2400684,1.4,7,0,8,3.77,-80,0
14499,descent,455.38,95999,15.54,46,0.049,0.031,-0.655,-0.01,0.17,-0.05,23.92,-18.94,41.50,41.2802277,69.2400683,1.4,7,0,8,3.77,-80,0
14599,descent,454.58,96008,15.55,46,-0.021,-0.025,-0.890,0.24,0.38,0.04,23.65,-18.65,41.56,41.2802273,69.2400682,1.4,7,0,8,3.77,-80,0
14699,descent,453.84,96016,15.55,46,0.012,-0.018,-0.859,0.15,0.15,-0.27,22.82,-18.92,41.55,41.2802269,69.2400681,1.4,7,0,8,3.77,-80,0
14799,descent,453.09,96025,15.55,46,-0.038,-0.041,-0.970,0.11,0.27,0.03,23.59,-19.63,41.47,41.2802265,69.2400680,1.4,7,0,8,3.77,-80,0
14899,descent,452.23,96035,15.56,46,0.038,-0.001,-0.863,0.28,-0.25,0.18,23.42,-19.45,41.58,41.2802261,69.2400678,1.4,7,0,8,3.77,-80,0
14999,descent,451.34,96045,15.57,46,-0.027,0.031,-0.783,0.19,0.20,0.14,24.05,-19.01,40.62,41.2802257,69.2400677,1.4,7,0,8,3.77,-80,0
15099,descent,450.57,96053,15.57,46,-0.010,-0.055,-0.802,-0.04,0.51,-0.16,23.80,-18.93,40.76,41.2802253,69.2400676,1.4,7,0,8,3.77,-80,0
15199,descent,449.71,96063,15.58,46,0.011,0.026,-0.869,0.20,-0.24,0.12,24.11,-19.49,41.60,41.2802249,69.2400675,1.4,7,0,8,3.77,-80,0
15299,descent,448.97,96072,15.58,46,0.012,-0.053,-0.894,0.41,-0.10,-0.22,23.15,-18.95,40.70,41.2802245,69.2400673,1.4,7,1,9,3.77,-80,0
15399,descent,448.08,96082,15.59,46,0.091,0.020,-0.941,-0.27,-0.29,0.05,23.92,-20.33,41.42,41.2802240,69.2400672,1.4,7,0,9,3.77,-80,0
